,f1-score,precision,recall,support
Left Hand,0.8296296296296296,0.8888888888888888,0.7777777777777778,72.0
Right Hand,0.9154929577464788,0.9285714285714286,0.9027777777777778,72.0
Feet,0.9664429530201343,0.935064935064935,1.0,72.0
Tongue,0.8400000000000001,0.8076923076923077,0.875,72.0
micro avg,0.8888888888888888,0.8888888888888888,0.8888888888888888,288.0
macro avg,0.8878913850990606,0.89005439005439,0.8888888888888888,288.0
weighted avg,0.8878913850990607,0.89005439005439,0.8888888888888888,288.0
