,f1-score,precision,recall,support
Left Hand,0.8366013071895425,0.7901234567901234,0.8888888888888888,72.0
Right Hand,0.9064748201438849,0.9402985074626866,0.875,72.0
Feet,0.9230769230769231,0.9295774647887324,0.9166666666666666,72.0
Tongue,0.8368794326241135,0.855072463768116,0.8194444444444444,72.0
micro avg,0.875,0.875,0.875,288.0
macro avg,0.875758120758616,0.8787679732024145,0.875,288.0
weighted avg,0.875758120758616,0.8787679732024146,0.875,288.0
