,f1-score,precision,recall,support
Left Hand,0.6466165413533835,0.7049180327868853,0.5972222222222222,72.0
Right Hand,0.42857142857142855,0.3157894736842105,0.6666666666666666,72.0
Feet,0.2857142857142857,0.6842105263157895,0.18055555555555555,72.0
Tongue,0.5468749999999999,0.625,0.4861111111111111,72.0
micro avg,0.4826388888888889,0.4826388888888889,0.4826388888888889,288.0
macro avg,0.47694431390977443,0.5824795081967213,0.4826388888888889,288.0
weighted avg,0.47694431390977443,0.5824795081967213,0.4826388888888889,288.0
