,f1-score,precision,recall,support
Left Hand,0.17283950617283952,0.7777777777777778,0.09722222222222222,72.0
Right Hand,0.6016949152542374,0.4329268292682927,0.9861111111111112,72.0
Feet,0.7333333333333334,0.9166666666666666,0.6111111111111112,72.0
Tongue,0.5899280575539567,0.6119402985074627,0.5694444444444444,72.0
micro avg,0.5659722222222222,0.5659722222222222,0.5659722222222222,288.0
macro avg,0.5244489530785917,0.68482789305505,0.5659722222222223,288.0
weighted avg,0.5244489530785919,0.6848278930550501,0.5659722222222222,288.0
