,f1-score,precision,recall,support
Left Hand,0.6976744186046512,0.7894736842105263,0.625,72.0
Right Hand,0.511904761904762,0.4479166666666667,0.5972222222222222,72.0
Feet,0.5401459854014599,0.5692307692307692,0.5138888888888888,72.0
Tongue,0.5070422535211268,0.5142857142857142,0.5,72.0
micro avg,0.5590277777777778,0.5590277777777778,0.5590277777777778,288.0
macro avg,0.5641918548579999,0.5802267085984192,0.5590277777777778,288.0
weighted avg,0.5641918548579999,0.5802267085984192,0.5590277777777778,288.0
