,f1-score,precision,recall,support
Left Hand,0.9154929577464788,0.9285714285714286,0.9027777777777778,72.0
Right Hand,0.9714285714285714,1.0,0.9444444444444444,72.0
Feet,0.9594594594594595,0.9342105263157895,0.9861111111111112,72.0
Tongue,0.9041095890410958,0.8918918918918919,0.9166666666666666,72.0
micro avg,0.9375,0.9375,0.9375,288.0
macro avg,0.9376226444189014,0.9386684616947776,0.9375,288.0
weighted avg,0.9376226444189015,0.9386684616947775,0.9375,288.0
