,f1-score,precision,recall,support
Left Hand,0.7261904761904762,0.6354166666666666,0.8472222222222222,72.0
Right Hand,0.9370629370629372,0.9436619718309859,0.9305555555555556,72.0
Feet,0.6050420168067226,0.7659574468085106,0.5,72.0
Tongue,0.9178082191780821,0.9054054054054054,0.9305555555555556,72.0
micro avg,0.8020833333333334,0.8020833333333334,0.8020833333333334,288.0
macro avg,0.7965259123095545,0.8126103726778922,0.8020833333333333,288.0
weighted avg,0.7965259123095545,0.8126103726778922,0.8020833333333334,288.0
