,f1-score,precision,recall,support
Left Hand,0.75,0.65625,0.875,72.0
Right Hand,0.8064516129032258,0.9615384615384616,0.6944444444444444,72.0
Feet,0.8456375838926175,0.8181818181818182,0.875,72.0
Tongue,0.7999999999999999,0.8571428571428571,0.75,72.0
micro avg,0.7986111111111112,0.7986111111111112,0.7986111111111112,288.0
macro avg,0.8005222991989608,0.8232782842157843,0.7986111111111112,288.0
weighted avg,0.8005222991989608,0.8232782842157841,0.7986111111111112,288.0
