,f1-score,precision,recall,support
Left Hand,0.7407407407407406,0.7936507936507936,0.6944444444444444,72.0
Right Hand,0.7286821705426356,0.8245614035087719,0.6527777777777778,72.0
Feet,0.738095238095238,0.6458333333333334,0.8611111111111112,72.0
Tongue,0.7361111111111113,0.7361111111111112,0.7361111111111112,72.0
micro avg,0.7361111111111113,0.7361111111111112,0.7361111111111112,288.0
macro avg,0.7359073151224313,0.7500391604010025,0.7361111111111112,288.0
weighted avg,0.7359073151224315,0.7500391604010025,0.7361111111111112,288.0
